product_id,categoriesID,name,price,image.image_link,image.alt,url
E478529-000,loungewear-and-homewear,Quần Easy Vải Pha Linen | Kẻ Sọc,588.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/478529/item/vngoods_69_478529_3x4.jpg?width=294,Quần Easy Vải Pha Linen | Kẻ Sọc,https://www.uniqlo.com/vn/vi/products/E478529-000
E478528-000,loungewear-and-homewear,Quần Easy Vải Pha Linen,588.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/478528/item/vngoods_30_478528_3x4.jpg?width=294,Quần Easy Vải Pha Linen,https://www.uniqlo.com/vn/vi/products/E478528-000
E483913-000,loungewear-and-homewear,Quần Easy Shorts Vải Cotton | Kẻ Sọc,391.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/483913/item/vngoods_30_483913_3x4.jpg?width=294,Quần Easy Shorts Vải Cotton | Kẻ Sọc,https://www.uniqlo.com/vn/vi/products/E483913-000
E483912-000,loungewear-and-homewear,Quần Easy Shorts Vải Cotton | Denim,391.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/483912/item/vngoods_65_483912_3x4.jpg?width=294,Quần Easy Shorts Vải Cotton | Denim,https://www.uniqlo.com/vn/vi/products/E483912-000
E482646-000,loungewear-and-homewear,Quần Easy Shorts Vải Cotton,391.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/482646/item/vngoods_09_482646_3x4.jpg?width=294,Quần Easy Shorts Vải Cotton,https://www.uniqlo.com/vn/vi/products/E482646-000
E481142-000,loungewear-and-homewear,Quần Easy Shorts Vải Cotton | Hickory,391.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/481142/item/vngoods_33_481142_3x4.jpg?width=294,Quần Easy Shorts Vải Cotton | Hickory,https://www.uniqlo.com/vn/vi/products/E481142-000
E473761-000,loungewear-and-homewear,Quần Easy Shorts Vải Cotton | Denim,391.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/473761/item/vngoods_65_473761_3x4.jpg?width=294,Quần Easy Shorts Vải Cotton | Denim,https://www.uniqlo.com/vn/vi/products/E473761-000
E473760-000,loungewear-and-homewear,Quần Easy Shorts Vải Cotton,391.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/473760/item/vngoods_30_473760_3x4.jpg?width=294,Quần Easy Shorts Vải Cotton,https://www.uniqlo.com/vn/vi/products/E473760-000
E481560-000,loungewear-and-homewear,Quần Easy Vải Pha Linen | Kẻ Sọc,588.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/481560/item/vngoods_55_481560_3x4.jpg?width=294,Quần Easy Vải Pha Linen | Kẻ Sọc,https://www.uniqlo.com/vn/vi/products/E481560-000
E470173-000,loungewear-and-homewear,Quần Dệt Kim Vải Gân Có Thể Giặt Máy,588.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/470173/item/vngoods_09_470173_3x4.jpg?width=294,Quần Dệt Kim Vải Gân Có Thể Giặt Máy,https://www.uniqlo.com/vn/vi/products/E470173-000
E482245-000,loungewear-and-homewear,Quần Easy Co Giãn | Vải Jersey,588.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/482245/item/vngoods_03_482245_3x4.jpg?width=294,Quần Easy Co Giãn | Vải Jersey,https://www.uniqlo.com/vn/vi/products/E482245-000
E479382-000,loungewear-and-homewear,Quần Dài Geared,784.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/479382/item/vngoods_31_479382_3x4.jpg?width=294,Quần Dài Geared,https://www.uniqlo.com/vn/vi/products/E479382-000
E479134-000,loungewear-and-homewear,Quần Easy Co Giãn Dài Đến Mắt Cá,588.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/479134/item/vngoods_08_479134_3x4.jpg?width=294,Quần Easy Co Giãn Dài Đến Mắt Cá,https://www.uniqlo.com/vn/vi/products/E479134-000
E461420-000,loungewear-and-homewear,Quần Cotton Dài Đến Mắt Cá | Vải Denim,588.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/461420/item/vngoods_63_461420_3x4.jpg?width=294,Quần Cotton Dài Đến Mắt Cá | Vải Denim,https://www.uniqlo.com/vn/vi/products/E461420-000
E483896-000,loungewear-and-homewear,Quần Cotton Dáng Relax Dài Đến Mắt Cá | Vải Denim,588.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/483896/item/vngoods_65_483896_3x4.jpg?width=294,Quần Cotton Dáng Relax Dài Đến Mắt Cá | Vải Denim,https://www.uniqlo.com/vn/vi/products/E483896-000
E482243-000,loungewear-and-homewear,Quần Cotton Dáng Relax Dài Đến Mắt Cá,588.000,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/482243/item/vngoods_09_482243_3x4.jpg?width=294,Quần Cotton Dáng Relax Dài Đến Mắt Cá,https://www.uniqlo.com/vn/vi/products/E482243-000
